Player,Pos,Team,Start,End,Yrs,Value,AAV,2-Year_Cash,3-Year_Cash
Deron Williams,PG,BKN,2012,2016,5,98772325,19754465,35643925,55398390
Derrick Rose,PG,CHI,2012,2016,5,94314380,18862876,34035188,52898064
Russell Westbrook,PG,OKC,2012,2016,5,78595310,15719062,28362656,44081718
Carmelo Anthony,PF,NYK,2012,2013,3,64166861,21388954,40833457,64166861
Brook Lopez,C,BKN,2012,2014,4,60825938,15206485,28362656,44081719
Kevin Love,C,MIN,2012,2014,4,60825938,15206485,28362656,44081719
Roy Hibbert,C,IND,2012,2015,4,58443748,14610937,27952594,42851532
Eric Gordon,SG,NOH,2012,2015,4,58365563,14591391,27952594,42851532
Nicolas Batum,SF,POR,2012,2015,4,46121500,11530375,22120250,34775307
JaVale McGee,C,DEN,2012,2015,4,44000000,11000000,20750000,32000000
Danilo Gallinari,PF,DEN,2012,2015,4,42000000,10500000,19585925,30440775
Gerald Wallace,SF,BKN,2012,2015,4,40000030,10000008,19788320,29894175
George Hill,PG,IND,2012,2016,5,40000000,8000000,16000000,24000000
Ersan Ilyasova,PF,MIL,2012,2016,5,40000000,8000000,15800000,23700000
Kevin Garnett,PF,BOS,2012,2014,3,36000000,12000000,24000000,36000000
Jeff Green,PF,BOS,2012,2015,4,35200000,8800000,16800000,26000000
Ryan Anderson,PF,NOH,2012,2015,4,34000000,8500000,17008500,25500000
Tim Duncan,PF,SAS,2012,2014,3,30361446,10120482,20000000,30361446
Jason Thompson,PF,SAC,2012,2016,5,30187500,6037500,10893750,16931250
Goran Dragic,PG,PHX,2012,2015,4,30000000,7500000,15000000,22500000
Steve Nash,PG,PHX,2012,2014,3,27901500,9300500,18200500,27901500
Jameer Nelson,PG,ORL,2012,2013,3,25200000,8400000,17200000,25200000
Omer Asik,C,HOU,2012,2014,3,25123938,8374646,10225000,25123938
Jeremy Lin,PG,HOU,2012,2014,3,25123938,8374646,10225000,25123938
Kris Humphries,PF,BKN,2012,2013,2,24000000,12000000,24000000,24000000
Andray Blatche,C,WAS,2012,2014,3,23384762,7794921,14913423,23384762
Andray Blatche,C,WAS,2012,2012,3,23384762,7794921,14913423,23384762
Anthony Davis,C,NOH,2012,2015,4,23198010,5799503,10520040,16127280
Courtney Lee,SG,HOU,2012,2015,4,21350000,5337500,10225000,15675000
Jamal Crawford,SG,LAC,2012,2015,4,21350000,5337500,10225000,15675000
Brendan Haywood,C,DAL,2012,2014,3,21070500,7023500,13322500,21070500
Josh Childress,SF,PHX,2012,2014,3,21000000,7000000,13682500,21000000
Michael Kidd-Gilchrist,SF,CHA,2012,2015,4,20760923,5190231,9412560,14429520
Andrei Kirilenko,SF,MIN,2012,2013,2,19998769,9999385,19998769,19998769
Brandon Bass,PF,BOS,2012,2014,3,19350000,6450000,12450000,19350000
Landry Fields,SF,TOR,2012,2014,3,18750000,6250000,12500000,18750000
Bradley Beal,SG,WAS,2012,2015,4,18652514,4663129,8452560,12957840
Michael Beasley,SF,PHX,2012,2014,3,18000000,6000000,11750000,18000000
Luis Scola,PF,HOU,2012,2014,3,17173866,5724622,11032829,17173866
Brendan Haywood,C,CHA,2012,2015,4,16836188,4209047,4100000,6313688
Dion Waiters,SG,CLE,2012,2015,4,16821270,4205318,7620840,11682840
Elton Brand,PF,PHI,2012,2012,1,16060354,16060354,16060354,16060354
Ian Mahinmi,C,DAL,2012,2015,4,16000000,4000000,8000000,12000000
Jason Terry,SG,BOS,2012,2014,3,15675000,5225000,10625313,16475626
Louis Williams,SG,ATL,2012,2014,3,15675000,5225000,10225000,15675000
Robin Lopez,C,NOH,2012,2014,3,15359283,5119761,10803554,16928283
Jonas Valanciunas,C,TOR,2012,2015,4,15239922,3809981,6901080,10579440
Steve Novak,SF,NYK,2012,2015,4,15000002,3750001,7804055,11250002
Raymond Felton,PG,POR,2012,2015,4,14861532,3715383,7117526,10911219
Andre Miller,PG,DEN,2012,2014,3,14625000,4875000,10000000,14625000
Damian Lillard,PG,POR,2012,2015,4,13845166,3461292,6267960,9608880
Luis Scola,PF,PHX,2012,2014,3,13525513,4508504,8657014,13525513
Marcus Camby,C,NYK,2012,2014,3,13151319,4383773,8974111,13151319
Spencer Hawes,PF,PHI,2012,2013,2,13100000,6550000,13100000,13100000
John Henson,PF,MIL,2012,2015,4,12733181,3183295,3728640,5695960
Terrence Ross,SF,TOR,2012,2015,4,11589837,2897459,5241960,8035920
Danny Green,SF,SAS,2012,2014,3,11287500,3762500,7262500,11287500
Andre Drummond,C,DET,2012,2015,4,10659170,2664793,4818720,7387080
Thomas Robinson,PF,SAC,2012,2014,3,10579440,3526480,6901080,10579440
Gerald Green,SG,IND,2012,2014,3,10500000,3500000,7000000,10500000
Brandon Roy,SG,MIN,2012,2013,2,10429500,5214750,5100000,5100000
Stephen Jackson,SF,SAS,2012,2012,1,10059750,10059750,10059750,10059750
Ramon Sessions,PG,CHA,2012,2013,2,10000000,5000000,10000000,10000000
Alonzo Gee,SF,CLE,2012,2014,3,9750000,3250000,6750000,9750000
Meyers Leonard,C,POR,2012,2015,4,9742479,2435620,4348680,6666600
Mirza Teletovic,PF,BKN,2012,2014,3,9687150,3229050,6319050,9687150
Darrell Arthur,PF,MEM,2012,2014,2,9675000,4837500,6237900,9695049
Alexey Shved,PG,MIN,2012,2014,3,9449999,3150000,6167943,9449999
Jeremy Lamb,SG,HOU,2012,2015,4,9367716,2341929,4131360,6333360
Boris Diaw,C,SAS,2012,2013,2,9202500,4601250,9202500,9202500
Jason Kidd,PG,NYK,2012,2014,3,9090000,3030000,6180000,9270000
Kosta Koufos,C,DEN,2012,2014,3,9000000,3000000,6000000,9000000
Joel Freeland,PF,POR,2012,2014,3,8925000,2975000,5911488,8925000
Harrison Barnes,PF,GSW,2012,2015,4,8771880,2192970,5721960,8771880
Marreese Speights,PF,MEM,2012,2013,2,8715000,4357500,8715000,8715000
Maurice Harkless,SF,PHI,2012,2015,4,8323699,2080925,3541800,5429640
O.J. Mayo,SG,DAL,2012,2013,2,8220900,4110450,8220900,8220900
Brandon Rush,SG,GSW,2012,2013,2,8000000,4000000,8000000,8000000
Carl Landry,PF,GSW,2012,2013,2,8000000,4000000,8000000,8000000
Chris Kaman,C,DAL,2012,2012,1,8000000,8000000,8000000,8000000
Kirk Hinrich,SG,CHI,2012,2013,2,8000000,4000000,8000000,8000000
Tyler Zeller,C,CLE,2012,2015,4,7517295,1879324,3196560,4900320
Terrence Jones,PF,HOU,2012,2015,4,7145049,1786262,3036840,4655520
Austin Rivers,SG,NOH,2012,2014,3,7017240,2339080,4577400,7017240
Jordan Hill,C,LAL,2012,2013,2,7000000,3500000,7000000,7000000
Shannon Brown,PG,PHX,2012,2013,2,7000000,3500000,7000000,7000000
Darko Milicic,PF,MIN,2012,2013,2,6983000,3491500,6983000,6983000
Andrew Nicholson,PF,ORL,2012,2015,4,6826593,1706648,2900160,4446000
DeShawn Stevenson,SF,ATL,2012,2014,3,6721350,2240450,2240450,2240450
Aaron Brooks,PG,SAC,2012,2013,2,6646250,3323125,6646250,6646250
Donatas Motiejunas,PF,HOU,2012,2015,4,6556245,1639061,2784120,4268040
Evan Fournier,SG,DEN,2012,2015,4,6556244,1639061,2784120,4268040
Jared Sullinger,PF,BOS,2012,2015,4,6366420,1591605,2672640,4097160
Ray Allen,SG,MIA,2012,2013,2,6319050,3159525,6319050,6319050
Jerryd Bayless,PG,MEM,2012,2013,2,6135000,3067500,6135000,6135000
LaVoy Allen,PF,PHI,2012,2013,2,6060000,3030000,6060000,6060000
Carlos Delfino,SG,HOU,2012,2013,2,6000000,3000000,6000000,6000000
Kwame Brown,C,PHI,2012,2013,2,5764945,2882473,2819044,2819044
J.R. Smith,SG,NYK,2012,2013,2,5739194,2869597,5739194,5739194
Tony Wroten Jr.,SG,MEM,2012,2015,3,5659594,1886531,2270160,3480240
Nick Young,SG,PHI,2012,2012,1,5600000,5600000,5600000,5600000
Miles Plumlee,C,IND,2012,2015,4,5473973,1368493,2194800,3364680
Perry Jones III,SF,OKC,2012,2015,4,5285886,1321472,2118480,3247680
Greg Stiemsma,C,MIN,2012,2013,2,5265875,2632938,2575000,2575000
Aaron Gray,C,TOR,2012,2013,2,5265875,2632938,4616899,4616899
Anthony Randolph,PF,DEN,2012,2013,3,5250000,1750000,3424641,3424641
Jeremy Evans,SF,UTA,2012,2014,3,5250000,1750000,3455129,5250000
Festus Ezeli,C,GSW,2012,2015,4,5209508,1302377,2087880,3200760
Reggie Evans,PF,LAC,2012,2014,3,5086905,1695635,3318252,5086905
Aaron Brooks,PG,HOU,2012,2013,2,4908000,2454000,4908000,4908000
Jared Jeffries,PF,POR,2012,2014,3,4624458,1541486,3016592,4624458
C.J. Miles,SF,CLE,2012,2013,2,4450000,2225000,4450000,4450000
Willie Green,SF,LAC,2012,2014,3,4222997,1407666,2774507,4222997
Sasha Pavlovic,SG,BOS,2012,2014,3,4080710,1360237,,
Grant Hill,SF,LAC,2012,2012,2,4002065,2001033,4002065,4002065
Ryan Gomes,SF,LAC,2012,2012,1,4000000,4000000,,
J.J Hickson,PF,POR,2012,2012,1,4000000,4000000,4000000,4000000
Chauncey Billups,PG,LAC,2012,2012,1,4000000,4000000,4000000,4000000
Victor Claver,SF,POR,2012,2014,3,4000000,1333333,2630000,4000000
Kendall Marshall,PG,PHX,2012,2013,2,3924720,1962360,3924720,6016560
John Jenkins,SG,ATL,2012,2014,3,3776280,1258760,2463360,3776280
Hasheem Thabeet,C,OKC,2012,2014,3,3650000,1216667,2400000,3650000
D.J. Augustin,PG,IND,2012,2012,1,3500000,3500000,3500000,3500000
Royce White,PF,HOU,2012,2013,2,3364920,1682460,3364920,3364920
Arnett Moultrie,PF,PHI,2012,2014,3,3267720,1089240,2131560,3267720
Kyle Singler,SF,DET,2012,2014,3,3135000,1045000,2045000,3135000
John Lucas III,PG,TOR,2012,2013,2,3067500,1533750,3067500,3067500
Marquis Teague,PG,CHI,2012,2014,3,3052640,1017547,1931720,3052640
Jodie Meeks,SG,LAL,2012,2013,2,3050000,1525000,3050000,3050000
Vyacheslav Kravtsov,C,DET,2012,2013,2,3000000,1500000,,
Nando De Colo,PG,SAS,2012,2013,2,2863000,1431500,2863000,2863000
Ishmael Smith,PG,ORL,2012,2013,3,2854389,951463,1861954,2854389
Rashard Lewis,PF,MIA,2012,2013,2,2751688,1375844,2751688,2751688
Daniel Orton,C,OKC,2012,2014,3,2751572,917191,854389,854389
Hamed Haddadi,C,MEM,2012,2013,2,2697500,1348750,1300000,1300000
Draymond Green,PF,GSW,2012,2014,3,2640743,880248,1725500,2640743
Fab Melo,C,BOS,2012,2013,2,2565960,1282980,2565960,2565960
Randy Foye,SG,UTA,2012,2012,1,2500000,2500000,2500000,2500000
Kyle O'Quinn,C,ORL,2012,2014,3,2492987,830996,1577744,2492987
James Anderson,SG,HOU,2012,2013,3,2429920,809973,1448836,1448836
Ronnie Price,PG,POR,2012,2013,2,2412314,1206157,2412314,2412314
Quincy Acy,PF,TOR,2012,2014,3,2369115,789705,1453872,2369115
Jared Cunningham,SG,DAL,2012,2013,2,2364720,1182360,2364720,3625080
Doron Lamb,SG,MIL,2012,2013,3,2354115,784705,1438872,1438872
Jae Crowder,SF,DAL,2012,2014,3,2304606,768202,1389363,2304606
Jeff Taylor,SG,CHA,2012,2014,3,2279115,759705,1363872,2279115
Orlando Johnson,SG,IND,2012,2014,3,2254115,751372,788872,788872
Will Barton,SG,POR,2012,2014,3,2254115,751372,1338872,2254115
Patty Mills,PG,SAS,2012,2013,2,2219070,1109535,2219070,2219070
Michael Eric,C,CLE,2012,2012,3,2177719,725906,,
Scott Machado,PG,HOU,2012,2014,3,2177719,725906,,
Khris Middleton,SF,DET,2012,2014,3,2177719,725906,1262476,2177719
Quincy Miller,SF,DEN,2012,2014,3,2177719,725906,1262476,2177719
Kevin Jones,PF,CLE,2012,2012,3,2177719,725906,50000,50000
Elton Brand,PF,DAL,2012,2012,1,2100500,2100500,2100500,2100500
C.J. Watson,PG,BKN,2012,2013,2,2099622,1049811,2099622,2099622
Hollis Thompson,SG,OKC,2012,2012,3,2090188,696729,837195,1691584
Patrick Beverley,PG,HOU,2012,2014,3,1985491,661830,1070248,1985491
Marco Belinelli,SG,CHI,2012,2012,1,1957000,1957000,1957000,1957000
Jerel McNeal,PG,UTA,2012,2014,3,1886258,628753,53802,53802
Tim Ohlbrecht,C,HOU,2012,2014,3,1848982,616327,,
Daniel Orton,C,OKC,2012,2012,2,1770488,885244,,
James White,SG,NYK,2012,2013,2,1770488,885244,854389,854389
Martell Webster,SF,WAS,2012,2012,1,1750000,1750000,1750000,1750000
DeAndre Liggins,SG,OKC,2012,2013,2,1646488,823244,762195,762195
Cory Higgins,SG,CHA,2012,2012,2,1646488,823244,,
E'Twaun Moore,SG,ORL,2012,2013,2,1646488,823244,1646488,1646488
Lance Thomas,SF,NOH,2012,2013,2,1646488,823244,762195,762195
P.J. Tucker,PF,PHX,2012,2013,2,1646488,823244,1646488,1646488
Jeff Adrien,SF,CHA,2012,2013,2,1569455,784728,1569455,1569455
Micah Downs,SG,BOS,2012,2012,2,1462476,731238,,
Dan Gadzuric,C,PHI,2012,2012,1,1352181,1352181,,
Eddy Curry,C,SAS,2012,2012,1,1352181,1352181,1352181,1352181
Anthony Carter,PG,DEN,2012,2012,1,1352181,1352181,,
Joel Przybilla,C,MIL,2012,2012,1,1352181,1352181,1352181,1352181
Jermaine O'Neal,C,PHX,2012,2012,1,1352181,1352181,1352181,1352181
Nazr Mohammed,C,CHI,2012,2012,1,1352181,1352181,1352181,1352181
Jason Collins,C,BOS,2012,2012,1,1352181,1352181,1352181,1352181
Keyon Dooling,SG,BOS,2012,2012,1,1352181,1352181,,
Vladimir Radmanovic,SF,CHI,2012,2012,1,1352181,1352181,,
Antawn Jamison,PF,LAL,2012,2012,1,1352181,1352181,1352181,1352181
Chris Wilcox,PF,BOS,2012,2012,1,1352181,1352181,1352181,1352181
Jerry Stackhouse,SF,BKN,2012,2012,1,1352181,1352181,1352181,1352181
Troy Murphy,PF,DAL,2012,2012,1,1336273,1336273,,
Jamaal Magloire,C,TOR,2012,2012,1,1325181,1325181,1325181,1325181
Chris Quinn,PG,CLE,2012,2013,2,1276282,638141,169340,169340
Shavlik Randolph,PF,BOS,2012,2013,2,1270442,635221,1270442,1270442
Chris Johnson,PF,MIN,2012,2013,2,1262880,631440,1262880,1262880
Mickael Gelabale,SF,MIN,2012,2013,1,1262880,1262880,,
Darius Miller,SF,NOH,2012,2013,2,1262476,631238,1262476,1262476
Kevin Murphy,SG,UTA,2012,2013,2,1262476,631238,473604,473604
Henry Sims,C,NYK,2012,2012,2,1262476,631238,838872,1954115
Brian Roberts,PG,NOH,2012,2013,2,1262476,631238,1262476,1262476
Mike Scott,PF,ATL,2012,2013,2,1262476,631238,1262476,1262476
Chris Smith,SG,NYK,2012,2012,2,1262476,631238,,
Kim English,SG,DET,2012,2013,2,1262476,631238,473604,473604
Maalik Wayns,PG,PHI,2012,2013,2,1262476,631238,,
Dionte Christmas,SG,BOS,2012,2012,2,1262476,631238,,
Kent Bazemore,SG,GSW,2012,2013,2,1262476,631238,1262476,1262476
Kris Joseph,SF,BOS,2012,2013,2,1262476,631238,,
Bernard James,C,DAL,2012,2013,2,1262476,631238,473604,473604
Tornike Shengelia,SF,BKN,2012,2013,2,1262476,631238,788872,788872
Tyshawn Taylor,PG,BKN,2012,2013,2,1262476,631238,,
Brian Cook,PF,WAS,2012,2012,1,1229255,1229255,,
Jannero Pargo,PG,WAS,2012,2012,1,1229255,1229255,,
Darko Milicic,PF,BOS,2012,2012,1,1229255,1229255,,
Marquis Daniels,SF,MIL,2012,2012,1,1229255,1229255,,
Leandro Barbosa,SG,BOS,2012,2012,1,1229255,1229255,1229255,1229255
Matt Barnes,SF,LAC,2012,2012,1,1229255,1229255,1229255,1229255
Roger Mason,SG,NOH,2012,2012,1,1229255,1229255,,
Keith Bogans,SF,BKN,2012,2012,1,1229255,1229255,1229255,1229255
Flip Murray,SG,MEM,2012,2012,1,1223166,1223166,,
Melvin Ely,C,DAL,2012,2012,1,1223166,1223166,,
Marko Jaric,PG,CHI,2012,2012,1,1223166,1223166,,
Damien Wilkins,SG,PHI,2012,2012,1,1223166,1223166,1223166,1223166
Eddie Gill,PG,MIL,2012,2012,1,1223166,1223166,,
Royal Ivey,PG,PHI,2012,2012,1,1223166,1223166,,
Delonte West,PG,DAL,2012,2012,1,1223166,1223166,,
Solomon Jones,PF,NYK,2012,2013,2,1217915,608958,,
Terrence Williams,SG,BOS,2012,2013,2,1197823,598912,,
D.J. White,PF,BOS,2012,2013,2,1183658,591829,156234,156234
Kevin Jones,PF,CLE,2012,2013,2,1178899,589450,390027,390027
Ike Diogu,PF,PHX,2012,2012,1,1146337,1146337,,
Andray Blatche,C,BKN,2012,2012,1,1146337,1146337,1146337,1146337
Nate Robinson,PG,CHI,2012,2012,1,1146337,1146337,1146337,1146337
Ronny Turiaf,C,LAC,2012,2012,1,1146337,1146337,1146337,1146337
Derek Fisher,PG,DAL,2012,2012,1,1113561,1113561,,
Dwayne Jones,C,GSW,2012,2013,2,1112781,556391,5839,5839
Josh Howard,SF,MIN,2012,2012,1,1109327,1109327,,
Shaun Livingston,PG,WAS,2012,2012,1,1108044,1108044,1108044,1108044
Solomon Jones,PF,NOH,2012,2012,1,1069509,1069509,,
Josh Powell,PF,SAS,2012,2012,1,1069509,1069509,1069509,1069509
Louis Amundson,PF,MIN,2012,2012,1,1069509,1069509,,
Ronald Dupree,PF,MEM,2012,2012,1,1069509,1069509,,
Earl Barron,PF,WAS,2012,2012,1,1069509,1069509,,
Josh Childress,SF,BKN,2012,2012,1,1069509,1069509,,
Ronnie Brewer,SF,NYK,2012,2012,1,1069509,1069509,,
Ryan Hollins,C,LAC,2012,2012,1,1069509,1069509,1069509,1069509
Devin Ebanks,SF,LAL,2012,2012,1,1054389,1054389,1054389,1054389
Donte Greene,SF,MEM,2012,2013,2,1032811,516406,5387,5387
Aron Baynes,C,SAS,2012,2013,2,1028460,514230,1028460,1028460
DaJuan Summers,PF,LAC,2012,2012,2,1015593,507797,67686,67686
Jarvis Varnado,PF,MIA,2012,2013,2,1006173,503087,1006173,1006173
Mickael Pietrus,SF,TOR,2012,2012,1,1005097,1005097,,
Dominic McGuire,SF,TOR,2012,2012,1,992680,992680,992680,992680
Chris Quinn,PG,UTA,2012,2012,1,992680,992680,,
Rodney Carney,PF,MIA,2012,2012,1,992680,992680,,
Shavlik Randolph,PF,WAS,2012,2012,1,992680,992680,992680,992680
Shelvin Mack,PG,ATL,2012,2013,2,987414,493707,987414,987414
Terrel Harris,SG,NOH,2012,2013,2,973963,486982,,
Darius Morris,PG,LAL,2012,2012,1,962195,962195,2164939,2164939
Ivan Johnson,PF,ATL,2012,2012,1,962195,962195,2164939,2164939
Malcolm Thomas,PF,CHI,2012,2013,2,929128,464564,929128,929128
Adam Morrison,SF,POR,2012,2012,1,915852,915852,,
Orien Greene,PG,MIL,2012,2012,1,915852,915852,,
Anthony Tolliver,PF,ATL,2012,2012,1,915852,915852,915852,915852
Sean Williams,PF,BOS,2012,2012,1,915852,915852,,
Cartier Martin,PF,WAS,2012,2012,1,915852,915852,915852,915852
Chris Douglas-Roberts,SG,DAL,2012,2012,1,885120,885120,885120,885120
Darnell Jackson,PF,UTA,2012,2012,1,885120,885120,,
Derrick Brown,PG,SAS,2012,2012,1,885120,885120,,
Chris Douglas-Roberts,SG,LAL,2012,2012,1,885120,885120,885120,885120
Alando Tucker,SF,MIL,2012,2012,1,885120,885120,,
Kyle Weaver,PG,MEM,2012,2012,1,885120,885120,,
Terrence Williams,SG,DET,2012,2012,1,885120,885120,,
Jonny Flynn,PG,DET,2012,2012,1,885120,885120,,
DaJuan Summers,PF,CHA,2012,2012,1,885120,885120,885120,885120
Blake Ahearn,SG,IND,2012,2012,1,885120,885120,,
Sundiata Gaines,PG,IND,2012,2012,1,885120,885120,,
Sam Young,SF,IND,2012,2012,1,885120,885120,,
A.J. Price,PG,WAS,2012,2012,1,885120,885120,885120,885120
Alan Anderson,SG,TOR,2012,2012,1,885120,885120,885120,885120
James Anderson,SG,SAS,2012,2012,1,854389,854389,,
Will Conroy,SG,MIN,2012,2012,1,854389,854389,,
Solomon Alabi,C,NOH,2012,2012,1,854389,854389,,
Damion James,SG,ATL,2012,2012,1,854389,854389,,
James Anderson,SG,ATL,2012,2012,1,854389,854389,,
Ben Uzoh,PG,DEN,2012,2012,1,854389,854389,,
Ben Uzoh,PG,DEN,2012,2012,1,854389,854389,,
Othyus Jeffers,PG,PHX,2012,2012,1,854389,854389,854389,854389
Hamady N'Diaye,C,SAC,2012,2012,1,854389,854389,,
Coby Karl,SG,POR,2012,2012,1,854389,854389,,
Armon Johnson,PG,ORL,2012,2012,1,854389,854389,1970488,1970488
Garrett Temple,SG,MIA,2012,2012,1,854389,854389,854389,854389
Derrick Byars,SF,SAS,2012,2012,1,854389,854389,,
Maalik Wayns,PG,LAC,2012,2013,2,847376,423688,,
Justin Holiday,SG,PHI,2012,2013,2,836232,418116,47360,47360
Kris Joseph,SF,BKN,2012,2013,2,805587,402794,16715,16715
Josh Akognon,PG,DAL,2012,2013,2,802802,401401,13930,13930
Scott Machado,PG,GSW,2012,2013,2,791658,395829,,
Willie Reed,C,MEM,2012,2013,2,791658,395829,2786,2786
Marqus Blakely,PF,LAC,2012,2012,1,762195,762195,,
Jermaine Taylor,SG,MIN,2012,2012,1,762195,762195,,
Trey Gilder,SF,UTA,2012,2012,1,762195,762195,,
Walker Russell Jr,PG,OKC,2012,2012,1,762195,762195,,
Chris Wright,SF,TOR,2012,2012,1,762195,762195,1846488,1846488
Josh Harrellson,PF,MIA,2012,2012,1,762195,762195,,
Jerome Jordan,C,MEM,2012,2012,1,762195,762195,,
Carldell Johnson,SG,ATL,2012,2012,1,762195,762195,,
Andy Rautins,SG,OKC,2012,2012,1,762195,762195,,
Mickell Gladness,PF,MIA,2012,2012,1,762195,762195,,
Terrel Harris,SG,MIA,2012,2012,1,762195,762195,,
Diamon Simpson,PF,HOU,2012,2012,1,762195,762195,,
Donald Sloan,PG,CLE,2012,2012,1,762195,762195,1846488,1846488
Dominic McGuire,SF,NOH,2012,2012,1,718233,718233,718233,718233
Mike James,PG,DAL,2012,2012,1,636320,636320,,
Chris Douglas-Roberts,SG,DAL,2012,2012,1,603964,603964,603964,603964
Daequan Cook,SG,CHI,2012,2012,1,595608,595608,595608,595608
Garrett Temple,SG,WAS,2012,2012,1,572943,572943,572943,572943
Lazar Hayward,PF,MIN,2012,2012,1,542788,542788,,
Chris Andersen,PF,MIA,2012,2012,1,540872,540872,540872,540872
Shelvin Mack,PG,WAS,2012,2012,1,511119,511119,511119,511119
Diante Garrett,PG,PHX,2012,2012,1,473604,473604,473604,473604
Luke Zeller,C,PHX,2012,2012,1,473604,473604,,
Josh Owens,PF,CHA,2012,2012,1,473604,473604,,
Dallas Lauderdale,PF,POR,2012,2012,1,473604,473604,,
Trent Plaisted,C,LAC,2012,2012,1,473604,473604,,
Hank Thorns,PG,LAC,2012,2012,1,473604,473604,,
D'Aundray Brown,PG,CLE,2012,2012,1,473604,473604,,
Lance Goulbourne,SG,GSW,2012,2012,1,473604,473604,,
Carlon Brown,SG,GSW,2012,2012,1,473604,473604,,
Ryan Allen,SG,CHI,2012,2012,1,473604,473604,,
Chris Wright,PG,NOH,2012,2012,1,473604,473604,,
Jerel McNeal,PG,TOR,2012,2012,1,473604,473604,,
Wesley Witherspoon,SG,SAS,2012,2012,1,473604,473604,,
Tony Mitchell,PF,SAC,2012,2012,1,473604,473604,,
Justin Holiday,SG,POR,2012,2012,1,473604,473604,,
Demonte Harper,SG,POR,2012,2012,1,473604,473604,,
Devin Searcy,PF,PHI,2012,2012,1,473604,473604,,
DeQuan Jones,SF,ORL,2012,2012,1,473604,473604,473604,473604
Christapher Johnson,SF,ORL,2012,2012,1,473604,473604,1462476,1462476
Brian Butch,C,UTA,2012,2012,1,473604,473604,,
Mustapha Farrakhan,SG,MIL,2012,2012,1,473604,473604,,
Michael Dunigan,C,MEM,2012,2012,1,473604,473604,,
Ronnie Aguilar,C,LAL,2012,2012,1,473604,473604,,
Ben Hansbrough,PG,IND,2012,2012,1,473604,473604,473604,473604
Luke Nevill,C,IND,2012,2012,1,473604,473604,,
Rick Jackson,SF,GSW,2012,2012,1,473604,473604,,
Seth Tarver,SG,MIN,2012,2012,1,473604,473604,,
Phil Jones,C,MIN,2012,2012,1,473604,473604,,
Josh Akognon,PG,DAL,2012,2012,1,473604,473604,,
Steven Gray,SG,WAS,2012,2012,1,473604,473604,,
Oscar Bellfield,PG,NYK,2012,2012,1,473604,473604,,
John Shurna,SF,NYK,2012,2012,1,473604,473604,,
Darius Johnson-Odom,SG,LAL,2012,2012,1,473604,473604,,
Robert Sacre,C,LAL,2012,2012,1,473604,473604,473604,473604
Carleton Scott,SF,BKN,2012,2012,1,473604,473604,,
James Mays,PF,BKN,2012,2012,1,473604,473604,,
Stephen Dennis,SG,BKN,2012,2012,1,473604,473604,,
Reeves Nelson,PF,LAL,2012,2012,1,473604,473604,,
Greg Somogyi,C,LAL,2012,2012,1,473604,473604,,
Chris Copeland,SF,NYK,2012,2012,1,473604,473604,473604,473604
Jamar Smith,SG,BOS,2012,2012,1,473604,473604,,
Pablo Prigioni,PG,NYK,2012,2012,1,473604,473604,473604,473604
Jarvis Varnado,PF,MIA,2012,2012,1,473604,473604,473604,473604
Robert Dozier,PF,MIA,2012,2012,1,473604,473604,,
Sam Young,SF,IND,2012,2012,1,416527,416527,,
Derek Fisher,PG,OKC,2012,2012,1,413608,413608,413608,413608
Jarvis Varnado,PF,BOS,2012,2012,1,320379,320379,320379,320379
Kenyon Martin,PF,NYK,2012,2012,1,270436,270436,270436,270436
Juwan Howard,PF,MIA,2012,2012,1,214758,214758,214758,214758
Keyon Dooling,SG,MEM,2012,2012,1,119310,119310,119310,119310
Juwan Howard,PF,MIA,2012,2012,10,79540,7954,79540,79540
Kenyon Martin,PF,NYK,2012,2012,10,79540,7954,79540,79540
Juwan Howard,PF,MIA,2012,2012,10,79540,7954,79540,79540
Kenyon Martin,PF,NYK,2012,2012,10,79540,7954,79540,79540
Chris Andersen,PF,MIA,2012,2012,10,79540,7954,79540,79540
Chris Andersen,PF,MIA,2012,2012,10,79540,7954,79540,79540
Mike James,PG,DAL,2012,2012,10,79540,7954,,
Mike James,PG,DAL,2012,2012,10,79540,7954,,
Jannero Pargo,PG,CHA,2012,2012,10,72309,7231,72309,72309
Jannero Pargo,PG,CHA,2012,2012,10,72309,7231,72309,72309
Jannero Pargo,PG,ATL,2012,2012,10,72309,7231,72309,72309
Jannero Pargo,PG,ATL,2012,2012,10,72309,7231,72309,72309
Louis Amundson,PF,NOH,2012,2012,10,62912,6291,62912,62912
Louis Amundson,PF,CHI,2012,2012,10,62912,6291,62912,62912
Shavlik Randolph,PF,BOS,2012,2012,10,58393,5839,58393,58393
Shavlik Randolph,PF,BOS,2012,2012,10,58393,5839,58393,58393
Dominic McGuire,SF,IND,2012,2012,10,58392,5839,58392,58392
Dominic McGuire,SF,IND,2012,2012,10,58392,5839,58392,58392
D.J. White,PF,BOS,2012,2012,10,53874,5387,53874,53874
D.J. White,PF,BOS,2012,2012,10,53874,5387,53874,53874
DaJuan Summers,PF,LAC,2012,2012,10,52066,5207,52066,52066
Terrence Williams,SG,BOS,2012,2012,10,52066,5207,,
Mickael Gelabale,SF,MIN,2012,2012,10,50258,5026,,
Chris Johnson,PF,MIN,2012,2012,10,50258,5026,50258,50258
Chris Johnson,PF,MIN,2012,2012,10,50258,5026,50258,50258
